Atomic Number,Tone Interval,Tone Position,Octave Number,Tone Number,Element Name,Element Symbol,Atomic Weight,Melting Point (C)
,,0 =,,400 =,Hydron,,unknown,unknown
1,Do,1+,4,401 +,Hydrogen,H,1.0079,-259
,Re,2 +,4,402 +,Ethlogen,Eg,unknown,unknown
,Mi,3 +,4,403 +,Bebegen,Bb,unknown,unknown
,Fa,4 ++,4,404 ++,Carbogen,Cb,unknown,unknown
,So,3,4,403 -,Luminon,Ln,2.92,unknown
,La,2,4,402 -,Halanon,Ha,unknown,unknown
,Ti,1 -,4,401 -,Helionon,Hi,unknown,unknown
2,,0 =,,500 =,Helium,He,4.0026,-272
3,Do,1 +,5,501 +,Lithium,Li,6.941,180
4,Re,2 +,5,502 +,Beryllium,Be,9.0122,1278
5,Mi,3 +,5,503 +,Boron,B,10.811,2300
6,Fa,4 ++,5,504 ++,Carbon,C,12.0107,3500
7,So,3 -,5,503 -,Nitrogen,N,14.0067,-210
8,La,2 -,5,502 -,Oxygen,o,15.9994,-218
9,Ti,1 - -,5,501 -,Fluorine,F,18.9984,-220
10,,0 =,,600 =,Neon,Ne,20.1797,-249
11,Do,1+,6,601 +,Sodium,Na,22.9897,98
12,Re,2 +,6,602 +,Magnesium,Mg,24.305,639
13,Mi,3 +,6,603 +,Aluminum,Al,26.9815,660
14,Fa,4 ++,6,604 ++,Silicon,Si,28.0855,1410
15,So,3 - -,6,603 -,Phosphorus,P,30.9738,44
16,La,2 - -,6,602 -,Sulfur,S,32.065,113
17,Ti,1 -,6,601 -,Chlorine,CI,"35,453",-101
18,,0 =,,700 =,Argon,Ar,39.948,-189
19,Do,1 +,7,701 +,Potassium,K,39.0983,64
20,Re,2 +,7,702 +,Calcium,Ca,40.078,839
21,Mi,3 +,7,703 +,Scandium,Sc,44.9559,1539
22,Mi167,3A+,7,703A +,Titanium,Ti,47.867,1660
23,Mi333,3B +,7,703B +,Vanadium,V,50.9415,1890
24,Mi500,3C +,7,703C +,Chromium,Cr,51.9961,1857
25,Mi666,3D +,7,703D +,Manganese,Mn,54.938,1245
26,Mi833,3E +,7,703E +,Iron,Fe,55.845,1535
27,Fa,4 ++,7,704 ++,Cobalt,Co,58.9332,1495
28,So833,3E,7,703E,Nickel,Ni,58.6934,1453
29,So666,3D,7,703D,Copper,Cu,63.546,1083
30,So500,3C,7,703C,Zinc,Zn,65.39,420
31,So333,3B,7,703B,Gallium,Ga,69.723,30
32,So167,3A,7,703A -,Germanium,Ge,72.64,937
33,So,3,7,703,Arsenic,As,74.9216,81
34,La,2,7,702,Selenium,Se,78.96,217
35,Ti,1 -,7,701,Bromine,Br,79.904,-7
36,,,,800 =,Krypton,Kr,83.8,-157
